Date,Open,High,Low,Close,Volume
04/04/2023,"17.1000","17.1000","16.5000","16.7000","472,788"
04/03/2023,"17.5000","17.7000","16.5400","16.9000","528,324"
03/31/2023,"17.8000","17.9000","17.5000","17.5000","514,954"
03/30/2023,"18.1000","18.3000","17.6000","17.6000","513,761"
03/29/2023,"18.1000","18.6000","18.0000","18.1000","455,988"
03/28/2023,"18.7000","18.9000","18.1000","18.1000","404,490"
03/27/2023,"19.1000","19.2500","18.6000","18.8000","461,932"
03/24/2023,"19.1000","19.3000","18.7830","19.0000","401,872"
03/23/2023,"19.2000","19.5000","18.9000","19.1000","454,144"
03/22/2023,"19.7000","20.0000","18.8000","18.8000","559,132"
03/21/2023,"18.9000","20.2000","18.7000","19.7000","659,338"
03/20/2023,"20.0000","20.0000","18.5000","18.6000","718,614"
03/17/2023,"20.2000","20.3710","19.7000","20.0000","506,075"
03/16/2023,"20.0000","20.8000","19.8000","20.4000","965,426"
03/15/2023,"20.6000","20.6000","19.7000","20.3000","608,803"
03/14/2023,"20.6000","21.1000","20.5000","20.7000","421,007"
03/13/2023,"20.1000","21.4000","20.1000","20.3000","703,093"
03/10/2023,"21.4000","21.4000","20.2000","20.5000","686,304"
03/09/2023,"22.1000","22.4000","21.1370","21.3000","552,027"
03/08/2023,"22.0000","22.5000","21.8500","22.3000","239,026"
03/07/2023,"22.6000","22.6000","21.8000","22.0000","331,437"
03/06/2023,"22.9000","23.0990","22.2000","22.3000","381,966"
03/03/2023,"22.7000","23.1000","22.3000","22.8000","415,828"
03/02/2023,"22.5000","22.6990","22.0000","22.4000","383,189"
03/01/2023,"23.2000","23.3000","22.5000","22.5000","433,803"
